Pred_data,True_data
0.99453825,0.99482477
0.9947693,0.9948548
0.9947977,0.9949155400000002
0.9948263,0.995064
0.99488395,0.9953139400000001
0.9949991,0.9953919599999999
0.9951473,0.9954440999999999
0.9952766,0.9954487999999999
0.9953233,0.99555427
0.99536407,0.9957191300000001
0.9954288,0.9957272
0.9955214,0.99582666
0.9956051,0.9959215999999999
0.9956564,0.9959715000000001
0.99573284,0.9960680599999999
0.9958023,0.9961189000000001
0.9958604,0.99621093
0.9959299,0.9962502000000001
0.99598485,0.99625355
0.99603224,0.9963140499999998
0.9960591,0.9970419000000001
0.99621314,0.9970885
0.9964687,0.9971456
0.9967673,0.9972527600000001
0.9968222,0.99743176
0.99690956,0.9974439
0.99700713,0.9974637999999999
0.9970818,0.997646
0.997126,0.9977969
0.9972173,0.9979027999999999
0.9973516,0.9982183
0.9974989,0.99854696
0.9976961,0.9986204500000001
0.99792886,0.9986930500000001
0.998088,0.99876696
0.9981514,0.99907273
0.9982575,0.99932504
0.9984254,0.9994544399999999
0.99864113,0.99949056
0.9987819,0.9995499000000001
0.9988523,0.9995964
0.99889255,0.99970675
0.9989493,0.9997194
0.9990028,0.9997439400000001
0.9990524,0.9997697
0.99906933,1.0000451
0.99913704,1.000141
0.9992486,1.0001792
0.9993879,1.0002264
0.99944407,1.0004908
0.9995214,1.0005519
0.9996311,1.0009577
0.9998231,1.0010198
0.9999813,1.0010804
1.0001627,1.0011162
1.000211,1.0011168
1.0002446,1.0011481
1.0002639,1.0011902
1.0002815,1.0011961
1.0003071,1.0013063
1.0003448,1.0018226
1.0004753,1.0021236
1.0007291,1.0021254
1.0010134,1.0026098
1.0012146,1.0026414
1.0013686,1.0029252
1.0016103,1.0029367
1.0017104,1.0029812
1.0018275,1.0031531
1.0018767,1.0031606
1.0019468,1.0032411
1.0020276,1.0032667
1.0020596,1.0034163
1.0021245,1.0035107
1.0021968,1.0036367
1.0023041,1.0037415
1.0023965,1.0038788
1.0025,1.0040308
1.0026083,1.0048805
1.0028605,1.0050724
1.0032092,1.0051557
1.0035967,1.0055853
1.0037712,1.0056041
1.0039351,1.0056316
1.0041044,1.0056496
1.0041229,1.0057051
1.0041485,1.0058035
1.0041898,1.0059036
1.0042583,1.0060128
1.0043446,1.006316
1.0044696,1.0064679
1.004629,1.0064995
1.0047921,1.0066441
1.0048839,1.0066508
1.0049403,1.0066924
1.0050031,1.006746
1.0050278,1.0068309
1.0050746,1.0069106
1.0051345,1.0071748
1.0052377,1.0073291
1.0053744,1.0073545
1.0055225,1.007671
1.0056443,1.0078894
1.0057883,1.0080448
1.0059983,1.0080589
1.0061275,1.0080761
1.0061917,1.0081426
1.0062141,1.0081929
1.0062495,1.0087594
1.0063916,1.0087708
1.0065819,1.0090165
1.006837,1.0092863
1.0069635,1.009333
1.0071424,1.0093358
1.0072553,1.0095915
1.0073196,1.0097091
1.0074182,1.0097752
1.0075585,1.0099298
1.0076491,1.010044
1.0077399,1.0103124
1.0078787,1.0103832
1.008013,1.010565
1.0081646,1.0108386
1.0082939,1.010918
1.0084558,1.011149
1.0086204,1.0114212
1.008767,1.0116808
1.0089784,1.011843
1.0091834,1.011896
1.0093352,1.0119532
1.0094199,1.0121537
1.0094922,1.0122058
1.0095816,1.0128168
1.009778,1.0129861
1.0100055,1.0136302
1.0103873,1.0137745
1.0106609,1.0140173
1.0109748,1.0140749
1.0111067,1.0146073
1.011304,1.0146226
1.0114816,1.0146484
1.011679,1.0147141
1.0117036,1.0148729
1.0117598,1.0155333
1.011946,1.0161815
1.0123075,1.0163589
1.0127585,1.0163945
1.0130439,1.016649
1.0131612,1.0169
1.013291,1.0169406
1.0134594,1.0170405
1.0135767,1.0170836
1.0136272,1.0178057
1.0138012,1.0179068
1.0140408,1.0180773
1.014352,1.0187334
1.0145506,1.0188355
1.0148151,1.0192438
1.0151438,1.0197392
1.0153815,1.0203708
1.0157737,1.020729
1.0161861,1.0212373
1.0165936,1.0215132
1.016908,1.0216311
1.017181,1.0223705
1.0174364,1.0228088
1.0177597,1.0231516
1.0181944,1.0244769
1.0186667,1.0257833
1.019375,1.026447
1.0202982,1.0276849
1.0211304,1.0277367
1.021701,1.0277553
1.0221329,1.0280414
1.0222032,1.0285568
1.0223734,1.0289357
1.0226723,1.0290071
1.0229585,1.0294502
1.0231777,1.0297663
1.0233737,1.0308394
1.0237838,1.0311193
1.0242232,1.0312413
1.0246723,1.0322144
1.024957,1.0333599
1.0254443,1.0338008
1.0261385,1.0338221
1.0266317,1.0374602
1.0273684,1.0381423
1.0284358,1.0392147
1.0299479,1.0422165
1.0309116,1.044845
1.0324202,1.0542097
1.0354271,1.0641906
1.0399241,1.0658196
1.0451498,1.0727911
1.0492026,1.0913234
1.0533808,1.1031859
