Pred_data,True_data
0.91620004,0.9161768
0.91624826,0.91622376
0.9163001,0.9162978
0.9163641,0.9164048000000001
0.9164246,0.9167953
0.9165471,0.91703314
0.916754,0.9170676499999999
0.9170202,0.9171925
0.9171616,0.9172006
0.9172184,0.9172032500000001
0.9172809,0.91721886
0.9172877,0.9173132
0.91730666,0.917417
0.9173579,0.91758883
0.9174589,0.9176032
0.9175642,0.9176462
0.9176565,0.918171
0.91774774,0.91817915
0.917934,0.9183564
0.91820997,0.91850644
0.9182895,0.91857177
0.91842943,0.9186149
0.9185268,0.9187075
0.9185838,0.91881657
0.9186478,0.9191454599999999
0.91876996,0.91919863
0.91893137,0.91928864
0.91911584,0.91976416
0.9192326,0.9198378
0.91943294,0.920167
0.9197244,0.9201851000000001
0.91986376,0.9203575000000002
0.92004764,0.920367
0.92011076,0.9205217
0.9202156,0.9208697
0.920314,0.92106676
0.92052054,0.9211372
0.9207545,0.9212467700000001
0.92088336,0.92157793
0.92099386,0.9216402
0.92115545,0.9217891
0.92134964,0.9218755399999999
0.921436,0.92187995
0.921533,0.9219135
0.92157924,0.9219434
0.9215956,0.9219566
0.9216222,0.9220916
0.9216579,0.92233396
0.92173725,0.9224182400000001
0.92188585,0.9226499
0.9220553,0.9231724
0.9222337,0.92335624
0.92252535,0.9234024
0.9228315,0.9237853
0.9229809,0.92383754
0.9231256,0.9246654
0.9234266,0.9250722
0.92375404,0.9251413
0.92427015,0.925426
0.92451596,0.92554235
0.9246486,0.92562616
0.924826,0.92579454
0.9249264,0.92593616
0.92503375,0.92601985
0.92516464,0.9264519
0.92530996,0.92681897
0.9255245,0.92695314
0.92585015,0.92699
0.9260637,0.9270436
0.92614317,0.9270518
0.9261771,0.9271001
0.92621034,0.92789054
0.9263277,0.9281026
0.9266115,0.9283448
0.92706674,0.9287470999999999
0.9272855,0.9287488000000002
0.92751527,0.9291612
0.9277506,0.9292066
0.92787844,0.9297151
0.9281425,0.92979467
0.9283223,0.9300345
0.9286063,0.9301825
0.92873085,0.9303567999999999
0.92890435,0.9303657
0.92902344,0.9305359
0.9291259,0.9308851
0.92922217,0.93115604
0.92943406,0.9314434
0.9297057,0.9315337
0.9299224,0.9317822
0.9301083,0.93178886
0.93022174,0.93194604
0.93035465,0.9322514
0.93043995,0.9323403
0.9306096,0.93268055
0.9308133,0.9332396999999999
0.9310183,0.93332714
0.93134195,0.93340874
0.931627,0.93364847
0.931718,0.9342788
0.93189794,0.9342798600000001
0.93218505,0.93443304
0.93248427,0.93475723
0.9325665,0.93515265
0.93277335,0.9356916
0.93309265,0.9365217
0.9335172,0.93684095
0.9340263,0.93712693
0.93451464,0.9373026
0.93475527,0.9374725
0.93494946,0.9375254
0.93508,0.9376544
0.93518406,0.9376727
0.9352453,0.93773496
0.93531406,0.9377824
0.9353448,0.9378845
0.93539697,0.9379066
0.93544865,0.9379842
0.9355083,0.9385613
0.9356054,0.9387082
0.93581617,0.9387994
0.9361189,0.939233
0.9362573,0.93942416
0.9364382,0.9398994999999999
0.93673295,0.9402363000000001
0.93698436,0.940504
0.9373126,0.940718
0.9375553,0.94104713
0.93776596,0.94127154
0.9379728,0.9414214
0.9381922,0.94177294
0.93836826,0.9418512
0.9385366,0.9419461
0.9387191,0.9424909999999999
0.9388383,0.9425478999999999
0.93903226,0.942816
0.9393099,0.9432738
0.93945634,0.9435244
0.9397208,0.94390464
0.94002414,0.94466704
0.94031453,0.9449578
0.94070977,0.9451006
0.9411245,0.9452416
0.9413001,0.94582367
0.94145954,0.9469166
0.9417883,0.9470444999999998
0.94233257,0.9472389
0.94284314,0.9477639
0.94300205,0.94868684
0.94331557,0.9489859299999999
0.94380313,0.94908744
0.94427246,0.9495898
0.9444736,0.9506956
0.9447573,0.95084447
0.9452606,0.9510634
0.9457733,0.95108074
0.9458912,0.9510811000000001
0.94598496,0.9515702
0.9460414,0.95176715
0.9461847,0.95248085
0.9465048,0.9529042
0.9468059,0.95337933
0.94724774,0.9538726
0.9475856,0.9542797000000001
0.94793916,0.95437044
0.9482467,0.9560056
0.9485913,0.956019
0.94902974,0.9563665
0.9497164,0.95661896
0.94983023,0.95674515
0.950041,0.9587342999999999
0.95036006,0.9616849
0.9511639,0.9631726
0.9527721,0.96398073
0.9543235,0.96409374
0.95508474,0.96569616
0.9555574,0.9670559
0.95608157,0.9673318
0.95701,0.96863776
0.95768785,0.97038096
0.95822513,0.9710101
0.95913756,0.9713301
0.9599343,0.9749109000000001
0.9605216,0.9749685
0.9614007,0.9776991
0.9628972,0.9805418
0.9636979,0.9854876
0.96558434,0.98584855
0.9675414,0.9885106
0.9694363,0.9896879
0.9701334,0.98993653
0.9712283,0.99831194
0.97220033,0.998575
0.9737806,1.0035949
0.97669196,1.0085605
0.97788936,1.0097257
0.98020697,1.0200254
