Pred_data,True_data
0.81457186,0.8147967
0.8146324,0.8147985
0.81472754,0.8148731
0.81484956,0.8149061
0.8148794,0.81492305
0.8149248,0.8149942
0.81495583,0.8150055399999999
0.8149876,0.81511045
0.8150388,0.8151201
0.81507856,0.81518006
0.81513643,0.8152771
0.8151753,0.8153305
0.8152405,0.8153688
0.81530535,0.8153894
0.8153438,0.8154876
0.8153826,0.8155484
0.81543237,0.8156035
0.8155027,0.81579125
0.8155764,0.815835
0.8156665,0.8158827
0.81576866,0.81589675
0.8158048,0.8160275
0.8158506,0.81610024
0.8159096,0.8161018
0.81598896,0.8161087
0.81602174,0.81611395
0.81602544,0.81646085
0.81608546,0.8164947
0.8162025,0.81672823
0.8163991,0.81675065
0.8164907,0.8167727
0.8166012,0.81686044
0.8166317,0.8168845
0.81667244,0.8169459
0.81672734,0.81709385
0.81678045,0.8173127
0.81688786,0.81738615
0.8170313,0.8174145
0.8171523,0.8174417
0.81719685,0.8174741
0.8172226,0.8174988
0.8172483,0.8175299
0.81727475,0.81753933
0.8172965,0.81758463
0.8173199,0.81760025
0.8173406,0.8176223
0.81736827,0.81762993
0.817383,0.8177073
0.8174071,0.81774986
0.8174412,0.81777513
0.8174915,0.8177991
0.81752133,0.8178824
0.8175527,0.8180288
0.81761205,0.8181777
0.81771666,0.8182391
0.8178351,0.8182882
0.8179253,0.8183769
0.81798065,0.8184494
0.81804055,0.8185667
0.81811917,0.8186194
0.81819475,0.8186395
0.8182642,0.8186686
0.8182974,0.8190422
0.8183733,0.8192842
0.8185395,0.8192948
0.81877464,0.8193723
0.81889254,0.81952333
0.81894445,0.8197342
0.8190568,0.8197808
0.81919307,0.8198825
0.8193124,0.8205005
0.8194591,0.8205751
0.81970394,0.82070184
0.8200069,0.82091963
0.82011074,0.820923
0.82023144,0.8210453
0.8203429,0.8212044
0.82040614,0.82124245
0.8205121,0.82138
0.82061166,0.82154953
0.8206956,0.82170725
0.8208292,0.8219149
0.8209801,0.8220266
0.82112646,0.8220899
0.82125705,0.8222945
0.82135415,0.82235396
0.8214518,0.82245195
0.82157034,0.8225435000000001
0.8216388,0.8225732
0.82171196,0.82269573
0.82177776,0.82280254
0.8218434,0.8229066
0.8219426,0.82297873
0.82202953,0.82298875
0.8220962,0.82301664
0.82213354,0.82337105
0.8221996,0.823385
0.82232016,0.8234755
0.8224855,0.8236486
0.8225446,0.8239467
0.822679,0.8241303
0.822868,0.8242403
0.8230632,0.82437456
0.8231923,0.82447803
0.8232935,0.8245666
0.8233933,0.82461894
0.82347035,0.8246192
0.8235227,0.8247855
0.8235691,0.8250159
0.82365304,0.8250296
0.8237926,0.8254466
0.8239534,0.8254831
0.8240886,0.82556796
0.82428384,0.8257328
0.82434833,0.8258389
0.8244477,0.8258698
0.8245516,0.8258859
0.8246067,0.82613313
0.8246605,0.82626224
0.8247592,0.82649314
0.82493263,0.8270681
0.82513773,0.82729197
0.8254341,0.8277223
0.82579726,0.827816
0.82602817,0.82827044
0.82629645,0.8283864
0.8264837,0.82841897
0.8267069,0.82900286
0.8268471,0.8294363
0.82709163,0.82977474
0.8275014,0.82991445
0.8277937,0.83017504
0.8280072,0.8305396
0.82818973,0.8307762
0.82843226,0.8310267
0.8286814,0.83127785
0.8288829,0.83137393
0.8290681,0.83182347
0.82925856,0.8320887999999999
0.8294614,0.832338
0.82975024,0.8323871
0.829933,0.8325356
0.8300664,0.83258104
0.8301341,0.83308136
0.83027476,0.8333405
0.830469,0.83341503
0.83074987,0.83363295
0.830903,0.8337965
0.83101565,0.8338926
0.8311603,0.83447707
0.831331,0.83448374
0.8315323,0.83456147
0.83177423,0.8345672
0.83179915,0.8346555
0.83184326,0.83534825
0.8319634,0.8356261
0.83222675,0.83730793
0.8327984,0.8375484
0.83339787,0.83771825
0.8341358,0.83791244
0.8342998,0.8380748
0.8344388,0.83870196
0.8346391,0.8391483
0.83492786,0.83974874
0.8353649,0.8404198999999999
0.83578134,0.841414
0.83631414,0.8419144
0.836893,0.842749
0.8375029,0.8435811
0.838011,0.84543455
0.8387656,0.8457607
0.83958656,0.84584355
0.84036,0.8473841
0.8406852,0.8476273
0.8411299,0.84803
0.8417964,0.8482131
0.8420053,0.84881854
0.8422667,0.85005736
0.8426258,0.8501712
0.84315777,0.8506377
0.84367985,0.8506925
0.84383917,0.85100925
0.84405375,0.8516933
0.84422714,0.8521404
0.84455323,0.853562
0.84505993,0.8548261
0.8456926,0.8569573
0.8467135,0.86044073
0.84800917,0.8636935
0.8498456,0.8638536
0.8517165,0.86406183
0.85282296,0.86632085
0.85314035,0.8683201
0.8538735,0.87166226
0.85531104,0.87698746
0.8570823,0.8783101
0.85922813,0.8914143
