Pred_data,True_data
0.92353016,0.9233116
0.92366934,0.9233595
0.9237952,0.923572
0.92392427,0.92377275
0.9241269,0.9237908
0.9243168,0.9238255
0.9244251,0.9238975
0.9244792,0.9239833
0.92456335,0.9242376
0.9247413,0.92423815
0.9248947,0.92430663
0.9250322,0.924353
0.9250836,0.92439747
0.92515284,0.9244385
0.9252105,0.9244695
0.9252614,0.9244796
0.9252974,0.9245827
0.92535913,0.924677
0.9254509,0.92470294
0.9255492,0.9249191
0.92569345,0.925253
0.92594624,0.9252616
0.9261956,0.9252684
0.92634475,0.92538285
0.9264005,0.925394
0.9264608,0.9255025
0.9265611,0.9255528
0.9266374,0.9255733
0.92671555,0.92585576
0.92686737,0.92608273
0.9271035,0.92673326
0.92760795,0.9268452
0.9280534,0.92685163
0.9283858,0.92689127
0.9284537,0.9270514
0.92854375,0.92726785
0.928728,0.9274781
0.92898726,0.927483
0.92917925,0.9275047
0.9292808,0.92750823
0.92929447,0.9278855
0.92946845,0.92814445
0.9297567,0.9281802
0.93005365,0.9281994
0.9301894,0.9282022
0.9302148,0.9282285
0.93023574,0.9283737
0.93031204,0.92852885
0.93045795,0.9285495
0.930601,0.9285771
0.93068904,0.92860186
0.9307214,0.9286677
0.9307733,0.9287841
0.930865,0.928914
0.93100363,0.92896694
0.93113685,0.9290746
0.9312639,0.92913973
0.9313649,0.92915934
0.93144983,0.92943805
0.9316082,0.9299505
0.9319693,0.9299554
0.9323295,0.9301421
0.9326331,0.9301889
0.9327426,0.93049806
0.9329796,0.930849
0.93329716,0.9309419
0.93363416,0.93111914
0.9339059,0.93127006
0.9340946,0.93152803
0.93435436,0.9315544
0.9345512,0.9315586
0.9346762,0.9316177
0.9347154,0.9317471
0.9348017,0.93179333
0.93490785,0.93193257
0.93504626,0.9321571
0.9352299,0.93223876
0.9354306,0.93228483
0.93558556,0.93247545
0.93572617,0.9326492
0.93591166,0.9328235
0.93615174,0.93288
0.9363329,0.93312705
0.93654335,0.9331912
0.9367116,0.9332649
0.9368804,0.9334509
0.9370247,0.9334718
0.93715274,0.9336678
0.9373293,0.93376744
0.93747413,0.93384695
0.9376403,0.93397546
0.93777734,0.9344114
0.938065,0.9344198
0.9383283,0.93455315
0.93857914,0.9347682
0.9387407,0.93499595
0.9390001,0.9350148
0.9392079,0.93551195
0.9395359,0.93586844
0.9399359,0.9358831
0.940324,0.93596447
0.9405207,0.93598706
0.94057524,0.9363219
0.94077027,0.9364708
0.9410037,0.9365764
0.941265,0.9370719
0.9416001,0.93746305
0.9420533,0.9376867
0.9425509,0.9377382
0.9428476,0.93830365
0.94322157,0.9383574
0.94353384,0.93855613
0.9438919,0.93896824
0.94419354,0.93929833
0.9446214,0.93965197
0.94511324,0.93966335
0.945427,0.9396801
0.94559216,0.93987083
0.9456909,0.9398919
0.9457973,0.9401126
0.9459888,0.9401532
0.94611996,0.940264
0.946284,0.94035554
0.9463949,0.94054174
0.9465696,0.94086313
0.94684166,0.94100696
0.9471381,0.94135237
0.94750005,0.9414067
0.94774914,0.94141406
0.9479266,0.941915
0.94817984,0.9422813
0.94858456,0.9424554
0.94905126,0.9427904
0.94944245,0.94324154
0.94987935,0.94371367
0.95044976,0.94411397
0.95104754,0.94415605
0.9514578,0.94429
0.9517101,0.9446132
0.9519381,0.94480467
0.9522346,0.9452926
0.95268506,0.9453675
0.9530309,0.9454496
0.9533125,0.9456198
0.95346063,0.94592625
0.95371526,0.9460001
0.9539659,0.9464171
0.9543217,0.9464173
0.9545495,0.94777286
0.9553453,0.94788027
0.9560318,0.94801766
0.9567239,0.94835085
0.95698625,0.9488224
0.9574164,0.9489347
0.9578311,0.94895345
0.9580932,0.94901276
0.9581769,0.9492529
0.9583224,0.95006156
0.9588294,0.9504846
0.959504,0.9510162
0.9602889,0.9513211
0.96085674,0.95155746
0.961333,0.95157605
0.9615811,0.9520068
0.96188694,0.9526967
0.96241134,0.95329577
0.9631897,0.95397294
0.9640703,0.95415175
0.96472055,0.9542035
0.96511275,0.9542372
0.9652274,0.9554874
0.9658362,0.9557848
0.96656775,0.95586574
0.9672677,0.9559238
0.96745634,0.9565223
0.96779066,0.95686114
0.9682472,0.9576809
0.9690287,0.95817274
0.9697738,0.95888126
0.970666,0.9589226
0.97121626,0.95998764
0.97201496,0.9606041
0.9728028,0.962733
0.9744942,0.9631117
0.975895,0.96339375
0.9770689,0.9642263
0.97772944,0.9658448
0.97895485,0.96832836
0.9811453,0.9698384
0.983595,0.97196174
0.98621315,0.9736609
0.9885092,0.97659117
0.99138606,0.9787919
0.99428743,0.9794743000000001
0.99665755,0.9820580999999999
0.9989035,0.99037325
1.0037895,1.0349319
