Pred_data,True_data
0.903807,0.9039072400000001
0.90399957,0.903958
0.90405405,0.9040016000000001
0.9041349,0.90401167
0.90415484,0.9040323
0.90417993,0.9041537600000001
0.9042803,0.90418524
0.90431565,0.9042159999999999
0.90436465,0.9042287
0.9043823,0.9042677
0.9044201,0.9042709
0.904427,0.9042868
0.90444726,0.90445334
0.90458256,0.90454394
0.90466684,0.9045632
0.9047182,0.9048138000000001
0.90493864,0.9048347
0.90497124,0.9049537
0.90511644,0.9051119
0.9052542,0.9051598000000001
0.90532327,0.90523964
0.90542084,0.90525097
0.9054429,0.9053169000000001
0.9055125,0.90532815
0.90552676,0.9053520600000001
0.9055596,0.9053654999999999
0.9055737,0.9054609
0.9056567,0.90552783
0.9057181,0.9055343
0.90574497,0.90554565
0.9057676,0.9055601
0.9057811,0.9057027700000001
0.9059003,0.9059583
0.9061182,0.9059990600000001
0.90619063,0.9060892000000002
0.90631676,0.90609276
0.90633154,0.9061542
0.9064001,0.90623295
0.906468,0.9062546999999999
0.90650135,0.9062762
0.9065356,0.9063734000000001
0.9066207,0.9064055
0.9066554,0.9064554599999999
0.90671724,0.9065539
0.9068068,0.90661776
0.90687346,0.90665823
0.90692914,0.9066764
0.90695864,0.90675104
0.9070293,0.9067526999999999
0.90703714,0.9068507
0.9071334,0.9069235
0.90719765,0.90696377
0.90725374,0.90710986
0.9073912,0.907136
0.9074264,0.90720725
0.9075165,0.9072239
0.9075383,0.9073056
0.90762144,0.9073406000000002
0.90765685,0.9074730000000001
0.9077851,0.90752894
0.90784365,0.90772367
0.90803546,0.9077314
0.90806013,0.9077509000000001
0.9081174,0.9078008499999999
0.9081614,0.9078999000000001
0.90825,0.9080283
0.90837115,0.908053
0.9084168,0.90814805
0.9085244,0.9082250999999999
0.90859723,0.9082479500000001
0.908639,0.9082699000000001
0.9086745,0.90832925
0.90872985,0.9083369
0.9087428,0.9083879
0.9087985,0.9083951
0.9088077,0.90847385
0.90888506,0.9086623
0.90904754,0.90872294
0.9091211,0.9087916
0.9092213,0.9088388000000001
0.9092762,0.9088514
0.90930295,0.9091948000000001
0.90960366,0.9094471
0.9098294,0.9094599
0.9099219,0.9094602500000001
0.90997785,0.90958375
0.9100855,0.9095969000000002
0.91009986,0.90968704
0.91020375,0.9097784
0.9102865,0.90979373
0.9103215,0.90985584
0.9103947,0.909933
0.9104653,0.9100487
0.9105793,0.9100715
0.9106184,0.9100987299999999
0.9106677,0.91010654
0.91068,0.9102981
0.91084975,0.91043836
0.9109754,0.91044986
0.9110308,0.91050696
0.91111124,0.91054684
0.911149,0.9108675
0.91143715,0.9108990399999999
0.91147935,0.91144556
0.91202134,0.9117622
0.91230994,0.91190535
0.9125631,0.9120534
0.91276664,0.9121354
0.9128738,0.91238844
0.91312855,0.91259366
0.9133298,0.9128196
0.91358846,0.9128393999999999
0.913658,0.91288656
0.9137524,0.9129619000000001
0.91382504,0.91310054
0.91396564,0.9131336
0.9140161,0.91319364
0.91410536,0.9133895
0.91429585,0.9133921
0.91431606,0.91346323
0.91442865,0.9136143
0.9145705,0.91380596
0.9147675,0.91390073
0.914896,0.9140885
0.9151212,0.9142565
0.9153066,0.9142871
0.91538835,0.91428936
0.91543525,0.91461873
0.9157493,0.91477525
0.9159036,0.9150727999999999
0.916271,0.91529804
0.9165285,0.9154693
0.9167681,0.9159948
0.917317,0.9161273999999999
0.9174869,0.9161917
0.9176938,0.9162521
0.91778624,0.9167798
0.9182916,0.9169107000000001
0.91841793,0.9173848999999998
0.918991,0.9175096000000001
0.91912085,0.9175470999999998
0.9192736,0.9176097
0.9193569,0.9176100500000001
0.91936237,0.91834956
0.9200191,0.9184545
0.92005825,0.91904855
0.9207819,0.91908205
0.92078054,0.91925704
0.9211065,0.9193873
0.92121744,0.9194101000000001
0.92126465,0.9194517000000001
0.9213332,0.9199003999999998
0.92176366,0.9210065599999999
0.92286813,0.92113596
0.9230719,0.92172176
0.92397135,0.9227144
0.92491335,0.92345375
0.92577404,0.9236475
0.9263365,0.9239954
0.92702734,0.9240634
0.92717177,0.92415667
0.9274244,0.9244624
0.92777157,0.924905
0.9282495,0.9253351
0.9287808,0.9255198
0.9291022,0.9256052
0.92935914,0.92561674
0.9294472,0.9256372
0.929508,0.9256922
0.92957175,0.9257129
0.92959946,0.92589265
0.92981523,0.92606
0.9299744,0.9268059
0.9307836,0.9281253999999999
0.9320472,0.9281363499999999
0.9321543,0.92848134
0.9330919,0.92942
0.9340401,0.9298528
0.9345393,0.9300595499999998
0.9351517,0.93051255
0.93579847,0.9312904999999999
0.93664014,0.9319959000000001
0.9374821,0.9325986000000002
0.93837273,0.93266225
0.938708,0.9362237
0.94233495,0.9365831600000001
0.94224775,0.9366914999999999
0.9440173,0.93727434
0.9446823,0.9396013
0.9466039,0.9408688500000001
0.9475721,0.9414214999999999
0.9489274,0.9416235999999999
0.9496001,0.9417838
0.9499482,0.9429705
0.9508687,0.94580597
0.95267886,0.9493081000000001
0.9548898,0.9584674
