Pred_data,True_data
0.8058622,0.8056921
0.8059178,0.8059411
0.80609185,0.8059479
0.8061096,0.8061184
0.8062898,0.80612355
0.80629313,0.80647093
0.80657715,0.8064776
0.80657905,0.8066882
0.80681425,0.8068712
0.80694026,0.8069032
0.80701643,0.8072831
0.80732775,0.8073275
0.8073624,0.8074164
0.8075247,0.8075824
0.80765015,0.8077607
0.807795,0.8079508
0.8079722,0.8079571
0.8080243,0.80808777
0.8081638,0.8083273
0.8083315,0.8083501
0.80838263,0.8083637
0.80845433,0.80843306
0.80850816,0.80843335
0.80851233,0.8084589
0.8085479,0.8085682
0.8086235,0.80882305
0.8088063,0.8093171
0.80917615,0.80960435
0.80944455,0.80974066
0.8096713,0.8097785
0.8097743,0.8099306
0.80991566,0.8100166
0.8099871,0.81004524
0.8100502,0.810568
0.8104327,0.81066823
0.8105161,0.81094074
0.81084937,0.81099236
0.8109172,0.8118681
0.8115857,0.81214374
0.81177926,0.8122684
0.8121119,0.81247556
0.812326,0.81249475
0.81237656,0.8125493
0.8124729,0.8125744
0.8124935,0.812693
0.8125813,0.812886
0.812697,0.81303024
0.8128145,0.81306523
0.8128951,0.8131102
0.81296676,0.81316847
0.81301045,0.81323946
0.81306434,0.8133442
0.81314135,0.81342614
0.8132093,0.8134823
0.81327397,0.81357443
0.81335175,0.813753
0.8134693,0.8139345
0.8135992,0.8139745
0.81367755,0.8140809
0.8137957,0.8142541
0.81390476,0.81461614
0.8141404,0.8146363
0.8141958,0.81469554
0.81433874,0.8149281
0.8144733,0.815145
0.8146055,0.81543136
0.8148266,0.81622165
0.8153613,0.8162657
0.815474,0.81637657
0.8157805,0.8163947
0.81580466,0.8165022
0.81590235,0.81661445
0.8159746,0.816616
0.8160082,0.8166466
0.81606054,0.81682307
0.816166,0.8168924
0.81621635,0.8169381
0.81629646,0.81731546
0.81654096,0.8173171
0.81654525,0.8175568
0.81678927,0.81775683
0.81690246,0.8178131
0.8170012,0.817831
0.817069,0.8178361
0.81708795,0.8178907
0.81712544,0.8179917
0.81718624,0.8180074
0.8172104,0.81802064
0.8172471,0.818021
0.8172517,0.8180759
0.817288,0.81828576
0.8174117,0.81848854
0.8175454,0.81884414
0.8178252,0.8188892
0.81791216,0.81895554
0.8181024,0.81924754
0.8183269,0.81939185
0.8184772,0.81952393
0.8187085,0.8196783
0.81887877,0.81980234
0.81902546,0.8201852
0.8193484,0.8203856
0.81955653,0.8216691
0.82053035,0.8218416
0.82079744,0.8218538
0.82133996,0.82230145
0.8217039,0.822458
0.82183605,0.822562
0.8220922,0.8227203
0.82226837,0.8237142
0.82297707,0.82373035
0.8231384,0.82388955
0.8236831,0.8241322
0.8238616,0.82583904
0.8250623,0.82715964
0.82608384,0.82725614
0.8268358,0.8273032
0.8273517,0.82757956
0.827557,0.827588
0.827581,0.8275932
0.82768595,0.8278685
0.8278578,0.82845074
0.8282061,0.8285468
0.82836896,0.82857543
0.82860607,0.8288975
0.82883096,0.8292689
0.82906,0.82927316
0.8291668,0.82958895
0.8294791,0.8298032
0.82958937,0.8298943
0.82971746,0.8299833
0.82982343,0.83013713
0.82992554,0.83026
0.8300047,0.83047634
0.8301563,0.83078504
0.8303386,0.83096904
0.8304752,0.8310122
0.8305773,0.83114403
0.8307003,0.83143777
0.8308567,0.83185154
0.8310887,0.83224136
0.8313465,0.833044
0.8318597,0.8352858
0.83307374,0.83529264
0.83313936,0.8353675
0.83389145,0.8359208
0.8341903,0.8376363
0.83520985,0.83833635
0.83600444,0.838378
0.83671665,0.83888435
0.83736956,0.83931273
0.837705,0.8395907
0.83809847,0.8396889
0.8383308,0.83992904
0.83861417,0.8406602
0.8391904,0.8406734
0.83927804,0.84152037
0.84018725,0.8415721
0.8402129,0.8416601
0.84060246,0.84188217
0.84078515,0.8420008
0.8409019,0.84245557
0.8413216,0.84247977
0.84137464,0.843896
0.8425964,0.8442662
0.8428445,0.8456562
0.84440386,0.84597856
0.84474516,0.8471264
0.84611315,0.8485367
0.84723467,0.85009325
0.84876454,0.8501036
0.84925795,0.8502101
0.849931,0.85070354
0.8502899,0.8509668
0.85050327,0.8521387
0.8515309,0.8534829
0.85255486,0.85374755
0.8531365,0.85440254
0.8541075,0.8548646
0.8545104,0.85530496
0.855069,0.85594606
0.8557672,0.85635793
0.8562658,0.85670483
0.8567974,0.8582903
0.85823107,0.8583927
0.8584166,0.85839707
0.85906,0.8586462
0.85930073,0.8608932
0.8610851,0.8609004
0.8611315,0.8622812
0.8631268,0.86611456
0.8660795,0.8663275
0.86667085,0.8700531
0.87102824,0.8706942
0.87145406,0.8732171
0.8747656,0.88730216
0.8848827,0.9059166
