Pred_data,True_data
0.8242888507556405,0.815510501
0.8343350657848617,0.830145437
0.8459704698815408,0.862108438
0.8555502701709954,0.876080174
0.867097899004297,0.877846428
0.8766611807401895,0.900903358
0.8882057009230435,0.902012995
0.8977683976375194,0.90534865
0.9093128077243482,0.9217378
0.9188754837196941,0.924690226
0.9304198899073599,0.927129318
0.9399825651689167,0.945650201
0.9515269712184897,0.950361472
0.9610896464540587,0.970429528
0.9726340524987411,0.978191258
0.9821967277333897,0.990242994
