user,Pred_data,True_data
1,0.7544742282761426,0.754982324
1,0.7595085284292754,0.755888859
1,0.7664957332515122,0.756897262
1,0.7724613361385412,0.762358881
1,0.779533107370879,0.76266851
1,0.7858284063862508,0.784220593
1,0.7927078982088841,0.788325108
1,0.7987778955074144,0.788848872
1,0.805805101772668,0.795179371
1,0.8119175739559251,0.803527606
1,0.818837510916503,0.816567172
1,0.8249129963974433,0.826318723
1,0.8319237787434505,0.829070994
1,0.838049230050215,0.841981265
1,0.8449818821802096,0.886444253
1,0.8510650726203048,0.88935998
1,0.8580629935474166,0.893300204
1,0.8641790682246676,0.894465906
1,0.8711226869647057,0.908809213
1,0.8772114076530864,0.9185234
1,0.8842004394604993,0.918637567
1,0.8903123512722974,0.927602237
1,0.8972633668529224,0.928532916
1,0.9033558535051667,0.93583012
1,0.9103386638246092,0.935966074
1,0.9164473560802222,0.936685295
1,0.9234035808396003,0.936981425
1,0.929498725482869,0.952890543
1,0.9364771837034709,0.958491383
1,0.9425836633671668,0.959280959
1,0.9495435268914282,0.986596932
2,0.7499859623160374,0.758283594
2,0.7603262496742594,0.766673525
2,0.7687474781230997,0.769467911
2,0.7788000842090941,0.780576599
2,0.7896830372807788,0.811689668
2,0.7982858376825581,0.835313401
2,0.8140173428092694,0.843630224
2,0.8221863480704577,0.855007432
2,0.8379178531971689,0.88648361
2,0.8460868584583571,0.891048759
2,0.8618183635850684,0.891674977
2,0.8699873688462565,0.911023773
2,0.8857188739729678,0.914876736
2,0.8938878792341559,0.915948582
2,0.9096193843608672,0.929463887
2,0.9177883896220553,0.952194683
2,0.9335198947487666,0.962032678
2,0.9416889000099548,0.983508635
2,0.957420405136666,0.988166853
2,0.9655894103978542,0.999243016
3,0.628717809336147,0.627012823
3,0.6312346583332925,0.628212257
3,0.633040319366733,0.630710094
3,0.6355543803330302,0.640860635
3,0.6373600413664707,0.644088549
3,0.639874102332768,0.649093016
3,0.6416797633662085,0.657311791
3,0.6441938243325057,0.659717352
3,0.6459994853659462,0.659997747
3,0.6485135463322435,0.662754875
3,0.6503192073656839,0.668770492
3,0.6528332683319812,0.670784737
3,0.6546389293654217,0.675506459
3,0.6571529903317189,0.676704612
3,0.6589586513651594,0.678200128
3,0.6614727123314567,0.68299282
3,0.6632783733648971,0.687366148
3,0.6657924343311944,0.698586368
3,0.6675980953646349,0.699113735
3,0.6701121563309321,0.700301098
3,0.6719178173643726,0.707154026
3,0.6744318783306699,0.70798249
3,0.6762375393641104,0.710216601
3,0.6787516003304076,0.727512119
3,0.6805572613638481,0.728482317
3,0.6830713223301453,0.731289576
3,0.6848769833635858,0.740464605
3,0.6873910443298831,0.757578569
3,0.6891967053633236,0.758070692
3,0.6917107663296208,0.769019259
3,0.6935164273630613,0.780271095
3,0.6960304883293585,0.797068009
3,0.697836149362799,0.80064604
3,0.7003502103290963,0.801498887
3,0.7021558713625368,0.801527349
3,0.704669932328834,0.813469849
3,0.7064755933622745,0.818155363
3,0.7089896543285718,0.818805097
3,0.7107953153620122,0.820332546
3,0.7133093763283095,0.82458058
3,0.71511503736175,0.830798378
3,0.7176290983280472,0.835275612
